task_id,learner_id,VanA,C_Harrell,C_Uno,C_Gonen,IGS,ILL,RMSE,MAE
bmt,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.183272341,0.930300564,0.912996307,0.998912379,0.07584659,0.031201011,616.3856368,604.8159962
bmt,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,1.634370879,0.917109415,0.901566148,0.998573437,0.139304566,1.01712505,427.5485609,353.6138412
bmt,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.160980003,0.878044188,0.85723719,0.743845358,0.188991601,0.236692269,262.8283128,205.6256786
bmt,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,0.721068162,0.887002259,0.835926965,0.799689904,0.136706049,0.602641347,349.214002,254.0479955
bmt,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.119246138,0.914531842,0.873952895,0.580105975,0.154201031,0.031140939,769.1611314,752.1758596
bmt,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,2874.204577,0.922469348,0.878419057,0.767510399,0.520418943,0.458228963,2292.651582,2267.466413
bmt,surv.kaplan.encode.nop.ml_gbm_coxboost.compose_distr.compose_crank,0.926033542,0.919613004,0.892951623,0.879191652,0.058424597,0.057624279,277.1894296,186.5330024
bmt,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.900021628,0.895194426,0.999896005,0.171918884,1.563990356,650.0768132,430.0037666
bmt,surv.kaplan.scale.encode.nop.ml_ann_coxtime.tuned.compose_distr.compose_crank,0.963171667,0.84402293,0.762300596,0.998478606,0.106723332,0.068711384,526.3282503,402.6022374
bmt,surv.kaplan.scale.encode.nop.ml_ann_deephit.tuned.compose_distr.compose_crank,0.872172876,0.802474707,0.775477141,0.993508413,0.21662407,0.054551097,982.30002,952.2573646
bmt,surv.kaplan.scale.encode.nop.ml_ann_deepsurv.tuned.compose_distr.compose_crank,1.031306269,0.725183144,0.681258753,0.998322681,0.191308155,0.043971907,852.5885002,796.6440589
bmt,surv.kaplan.scale.encode.nop.ml_ann_loghaz.tuned.compose_distr.compose_crank,0.453541943,0.853506073,0.826484412,0.995192558,0.254718492,0.105174895,510.4203544,460.9152808
bmt,surv.kaplan.scale.encode.nop.ml_ann_pchaz.tuned.compose_distr.compose_crank,0.656802743,0.853051841,0.826158315,0.99641116,0.183538268,0.082591204,357.8954741,283.8040437
bmt,surv.kaplan.scale.encode.nop.ml_ann_dnn.tuned.compose_distr.compose_crank,0.481086013,0.881549329,0.851652235,0.998553142,0.104268088,0.062170497,724.6408224,652.5318296
channing,surv.kaplan.class_nonpar_kaplan.compose_distr.compose_crank,1.000464501,0.5,0.5,0.25,0.162691482,0.043650584,52.10385074,42.82548864
channing,surv.kaplan.class_nonpar_nelson.compose_distr.compose_crank,1.005593781,0.5,0.5,0.25,0.162707478,0.043763872,52.18297409,42.88191217
channing,surv.kaplan.class_nonpar_akritas.compose_distr.compose_crank,1.066356085,0.578852046,0.588165843,0.877929616,0.159706718,0.047135445,52.73611586,43.24704115
channing,surv.kaplan.class_semipar_coxph.compose_distr.compose_crank,1.019316512,0.651235402,0.65217241,0.637973261,0.149716379,0.046378262,49.81699286,40.56363883
channing,surv.kaplan.encode.nop.class_semipar_cvglmnet.tuned.compose_distr.compose_crank,0.77024309,0.584880137,0.587331295,0.405526054,0.167664299,0.037714628,46.79853833,39.25465611
channing,surv.kaplan.class_semipar_penalized.tuned.compose_distr.compose_crank,1.027714408,0.650279403,0.651559269,0.96700449,0.150100137,0.046444874,50.25419493,40.86762982
channing,surv.kaplan.class_par_param.tuned.compose_distr.compose_crank,1.051984006,0.651756597,0.652835679,0.605970848,0.150011949,0.046350036,190.0746209,166.5883899
channing,surv.kaplan.class_par_flex.tuned.compose_distr.compose_crank,1.020702376,0.651251066,0.65224297,0.638185656,0.149769856,0.046661788,82.8363228,68.45339583
channing,surv.kaplan.ml_ranfor_rfsrc_brier.tuned.compose_distr.compose_crank,1.939709838,0.643381178,0.644131446,0.95337745,0.154727715,0.054405667,49.77838943,40.91869821
channing,surv.kaplan.ml_ranfor_rfsrc_logrank.tuned.compose_distr.compose_crank,1.965105046,0.656421328,0.655512834,0.941595912,0.150558047,0.047004287,49.20621297,40.43343276
channing,surv.kaplan.ml_ranfor_ranger_c.tuned.compose_distr.compose_crank,1.019129245,0.65827806,0.661527598,0.948796964,0.150744296,0.047570254,49.91672359,40.97317807
channing,surv.kaplan.ml_ranfor_rscif.tuned.compose_distr.compose_crank,4.438746723,0.647430706,0.648576081,0.947905672,0.297717011,0.856262527,49.97025621,41.04483968
channing,surv.kaplan.ml_ranfor_rrt.tuned.compose_distr.compose_crank,0.302713642,0.629195786,0.634218907,0.556010246,0.233891762,0.066802095,42.47169156,35.58491816
channing,surv.kaplan.ml_gbm_mboost_coxph.tuned.compose_distr.compose_crank,1.931390038,0.646050763,0.64884491,0.634450829,0.150504494,0.048801479,49.6950214,40.44091051
channing,surv.kaplan.ml_gbm_mboost_cindex.tuned.compose_distr.compose_crank,1.002392978,0.642621028,0.645237863,0.515264755,0.158276098,0.042639053,51.14428141,41.91791324
channing,surv.kaplan.ml_gbm_mboost_gehan.tuned.compose_distr.compose_crank,137.023595,0.639027011,0.637783802,0.556983507,0.249165836,0.208672201,78.14045281,68.44253741
channing,surv.kaplan.encode.nop.ml_gbm_coxboost.compose_distr.compose_crank,1.018486618,0.651677036,0.653081095,0.634542215,0.149604864,0.046061738,49.76483107,40.51459805
channing,surv.kaplan.scale.encode.nop.ml_svm_van.tuned.compose_distr.compose_crank,Inf,0.64332695,0.645572948,0.983883071,0.312976663,1.408151791,73.45895219,63.11202878
